 Displacement (m),Displacement (mm), Reaction_Force (N),Reaction_Force_2_Flextures (N)
-4.00E-04,0.4,0.611761317,1.223522634
-8.00E-04,0.8,1.18451665,2.3690333
-1.20E-03,1.2,1.72226876,3.44453752
-1.60E-03,1.6,2.2284743,4.4569486
-2.00E-03,2,2.70613532,5.41227064
-2.40E-03,2.4,3.15787276,6.31574552
-2.80E-03,2.8,3.58598599,7.17197198
-3.20E-03,3.2,3.99250145,7.9850029
-3.60E-03,3.6,4.37921266,8.75842532
-4.00E-03,4,4.7477133,9.4954266
-4.40E-03,4.4,5.0994248,10.1988496
-4.80E-03,4.8,5.43561934,10.87123868
-5.20E-03,5.2,5.75743935,11.5148787
-5.60E-03,5.6,6.06591392,12.13182784
-6.00E-03,6,6.36197274,12.72394548
-6.40E-03,6.4,6.64645809,13.29291618
-6.80E-03,6.8,6.92013504,13.84027008
-7.20E-03,7.2,7.18370026,14.36740052
-7.60E-03,7.6,7.43778966,14.87557932
-8.00E-03,8,7.682985,15.36597
-8.40E-03,8.4,7.91966586,15.83933172
-8.80E-03,8.8,8.14863437,16.29726874
-9.20E-03,9.2,8.37018288,16.74036576
-9.60E-03,9.6,8.58472733,17.16945466
-1.00E-02,10,8.79265201,17.58530402
-1.04E-02,10.4,8.99431252,17.98862504
-1.08E-02,10.8,9.19003849,18.38007698
-1.12E-02,11.2,9.36074103,18.72148206
-1.16E-02,11.6,9.56501271,19.13002542
-1.20E-02,12,9.73183288,19.46366576
-1.24E-02,12.4,9.9193544,19.8387088
-1.28E-02,12.8,10.0754625,20.150925
-1.32E-02,13.2,10.2556144,20.5112288
-1.36E-02,13.6,10.4059816,20.8119632
-1.40E-02,14,10.5576393,21.1152786
-1.44E-02,14.4,10.7288136,21.4576272
-1.48E-02,14.8,10.8712081,21.7424162
-1.52E-02,15.2,11.0128944,22.0257888
-1.56E-02,15.6,11.152391,22.304782
-1.60E-02,16,11.3092551,22.6185102
-1.64E-02,16.4,11.4410195,22.882039
-1.68E-02,16.8,11.5713262,23.1426524
-1.72E-02,17.2,11.6993001,23.3986002
-1.76E-02,17.6,11.8255341,23.6510682
-1.80E-02,18,11.9500023,23.9000046
-1.84E-02,18.4,12.0896969,24.1793938
-1.88E-02,18.8,12.2089614,24.4179228
-1.92E-02,19.2,12.3256559,24.6513118
-1.96E-02,19.6,12.4393003,24.8786006
-2.00E-02,20,12.5505767,25.1011534
